model,method,dataset,position,layer,seed,K,lambda_k,max_overlap
llama3_8b,CCS,amazon,period,15,9,16,0.6314641416917504,0.32842529804614357
llama3_8b,CCS,amazon,period,15,9,32,0.6904525502047307,0.32842529804614357
llama3_8b,CCS,amazon,period,15,9,64,0.7456689343178756,0.32842529804614357
llama3_8b,CCS,amazon,period,15,9,128,0.7840700841501002,0.32842529804614357
llama3_8b,CCS,amazon,period,15,10,1,0.008780671850705902,0.008780671850705902
llama3_8b,CCS,amazon,period,15,10,2,0.04175896466937563,0.040825371181513866
llama3_8b,CCS,amazon,period,15,10,4,0.12268801746207594,0.11468746284506787
llama3_8b,CCS,amazon,period,15,10,8,0.4577818907183368,0.3312676096821607
llama3_8b,CCS,amazon,period,15,10,16,0.6359459056649653,0.3312676096821607
llama3_8b,CCS,amazon,period,15,10,32,0.6955632768376381,0.3312676096821607
llama3_8b,CCS,amazon,period,15,10,64,0.7456651117531073,0.3312676096821607
llama3_8b,CCS,amazon,period,15,10,128,0.7857392092200308,0.3312676096821607
llama3_8b,CCS,amazon,period,15,11,1,0.01040717020023605,0.01040717020023605
llama3_8b,CCS,amazon,period,15,11,2,0.0426980046751371,0.041410269398560406
llama3_8b,CCS,amazon,period,15,11,4,0.12349552134077638,0.11514895908908983
llama3_8b,CCS,amazon,period,15,11,8,0.45428492535455234,0.32804555810929886
llama3_8b,CCS,amazon,period,15,11,16,0.6377261267138118,0.32804555810929886
